filename,width,height,class_name,xmin,ymin,xmax,ymax
0.jpg,518,388,No-Transformer,0,0,0,0
1.jpg,518,388,No-Transformer,0,0,0,0
10.jpg,518,388,No-Transformer,0,0,0,0
100.jpg,518,388,No-Transformer,0,0,0,0
101.jpg,518,388,No-Transformer,0,0,0,0
102.jpg,518,388,No-Transformer,0,0,0,0
103.jpg,518,388,No-Transformer,0,0,0,0
104.jpg,518,388,No-Transformer,0,0,0,0
105.jpg,518,388,No-Transformer,0,0,0,0
106.jpg,518,388,No-Transformer,0,0,0,0
107.jpg,518,388,Transformer,190.7016056,185.1818182,322.5103576,386.7402597
108.jpg,518,388,Transformer,217.1473106,70.96536797,348.5362895,275.4632035
109.jpg,518,388,Transformer,201.1959329,294.7792208,285.5703252,388
11.jpg,518,388,Transformer,199.0970675,282.6017316,282.2121404,388
110.jpg,518,388,Transformer,219.2461761,65.08658009,426.6140853,350.6277056
111.jpg,518,388,Transformer,244.8523349,187.2813853,319.5719459,257.8268398
112.jpg,518,388,No-Transformer,0,0,0,0
113.jpg,518,388,No-Transformer,0,0,0,0
114.jpg,518,388,Transformer,240.2348308,248.5887446,315.374215,363.2251082
115.jpg,518,388,Transformer,233.9382344,87.76190476,344.7583316,261.6060606
116.jpg,518,388,Transformer,295.2251064,226.3333333,364.4876671,335.9307359
117.jpg,518,388,Transformer,246.5314273,77.26406926,317.4730804,187.2813853
118.jpg,518,388,Transformer,205.3936639,191.9004329,274.6562247,294.3593074
119.jpg,518,388,Transformer,256.6059816,132.6926407,321.6708114,194.8398268
12.jpg,518,388,No-Transformer,0,0,0,0
120.jpg,518,388,Transformer,205.3936639,295.6190476,289.7680561,387.5800866
121.jpg,518,388,Transformer,210.430941,144.4502165,289.348283,256.1471861
122.jpg,518,388,Transformer,199.9366137,141.9307359,268.7794013,209.95671
123.jpg,518,388,Transformer,223.73906,175.1038961,291.4471485,284.2813853
124.jpg,518,388,No-Transformer,0,0,0,0
125.jpg,518,388,Transformer,206.2332101,95.32034632,275.915544,203.2380952
126.jpg,518,388,Transformer,242.3336963,127.2337662,307.3985261,193.5800866
127.jpg,518,388,Transformer,236.8766461,105.8181818,325.0289962,241.4502165
128.jpg,518,388,Transformer,239.6904376,135.6320346,285.1505521,224.6536797
129.jpg,518,388,Transformer,279.6935018,163.7662338,351.4747012,293.0995671
13.jpg,518,388,No-Transformer,0,0,0,0
130.jpg,518,388,Transformer,241.4941501,177.6233766,322.5103576,255.3073593
131.jpg,518,388,Transformer,221.3450415,205.3376623,292.2866947,314.9350649
132.jpg,518,388,Transformer,215.4682182,168.8051948,256.6059816,250.2683983
133.jpg,518,388,Transformer,207.0727563,2.0995671,250.7291582,84.82251082
134.jpg,518,388,Transformer,257.4455278,227.1731602,311.176484,281.3419913
135.jpg,518,388,No-Transformer,0,0,0,0
136.jpg,518,388,Transformer,250.3093851,191.9004329,288.9285099,274.6233766
137.jpg,518,388,Transformer,248.2105197,41.15151515,284.730779,125.1341991
138.jpg,518,388,Transformer,242.7534694,148.6493506,316.2137611,254.047619
139.jpg,518,388,Transformer,188.6027401,15.95670996,321.6708114,209.1168831
14.jpg,518,388,No-Transformer,0,0,0,0
140.jpg,518,388,Transformer,200.7761598,102.4588745,263.7421242,182.6623377
141.jpg,518,388,Transformer,208.7518487,177.2034632,271.2980399,287.6406926
142.jpg,518,388,Transformer,253.2477968,163.3463203,325.4487692,280.9220779
143.jpg,518,388,Transformer,256.1862085,0.83982684,330.9058195,103.7186147
144.jpg,518,388,Transformer,169.2931777,0.41991342,239.3952846,77.68398268
145.jpg,518,388,Transformer,223.0241339,133.952381,311.176484,219.1948052
146.jpg,518,388,No-Transformer,0,0,0,0
147.jpg,518,388,Transformer,222.1845877,123.034632,298.5832911,227.5930736
148.jpg,518,388,Transformer,150.4033884,196.5194805,234.7777806,316.1948052
149.jpg,518,388,Transformer,156.2802117,6.298701299,239.8150577,126.3939394
15.jpg,518,388,No-Transformer,0,0,0,0
150.jpg,518,388,Transformer,190.7016056,52.06926407,305.2996607,214.1558442
151.jpg,518,388,Transformer,217.5670837,338.8701299,324.18945,388
152.jpg,518,388,Transformer,119.3401793,10.4978355,191.5411517,100.3593074
153.jpg,518,388,Transformer,224.5786062,97.83982684,289.7680561,163.3463203
154.jpg,518,388,Transformer,237.2964192,134.3722944,303.2007952,222.1341991
155.jpg,518,388,Transformer,243.5930156,0.83982684,308.2380723,84.4025974
156.jpg,518,388,Transformer,180.6270513,0.83982684,338.0419621,217.9350649
157.jpg,518,388,No-Transformer,0,0,0,0
158.jpg,518,388,Transformer,144.526565,323.3333333,239.3952846,388
159.jpg,518,388,Transformer,141.1683803,123.034632,230.5800496,249.8484848
